Part,Value,Device,Package,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CATEGORY,CENTROID_NOT_SPECIFIED,CHECK_PRICES,COPYRIGHT,DATASHEET,DESCRIPTION,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,HEIGHT,LEAD_FREE,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,MPN,OPERATING_TEMPERATURE,PACKAGE,PACKAGE_SIZE,PACKAGE_TYPE,PART_STATUS,POPULARITY,PREFIX,PRICE,PROD_ID,PURCHASE-URL,ROHS,SERIES,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,SUBCATEGORY,TEMPERATURE_COEFFICIENT,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,THERMALLOSS,TOLERANCE,TP_SIGNAL_NAME,TYPE,VALUE
C1,,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,,,,,,
C1_BAT,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,,,,,,
C1_BAT1,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,,,,,,
C1_BAT2,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,,,,,,
C2,,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,,,,,,
C2_BAT,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,,,,,,
C3,,EAGLE-LTSPICE_CC0402,EAGLE-LTSPICE_C0402,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,,,,,,
C4,4.7uF/25V,EAGLE-LTSPICE_CC0402,EAGLE-LTSPICE_C0402,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,,,,,,
C5,CPH3225A,CPH3225A,CAPCP3225X100N,"Cap 0.011F 3.3V 1210 Flat Check availability",,,"Not in stock",,,https://www.snapeda.com/parts/CPH3225A/Seiko+Instruments/view-part/?ref=eda,,," 11 mF (EDLC) Supercapacitor 3.3 V 1210 (3225 Metric) - - ",,,,,,,,"Seiko Instruments",,,,,,CPH3225A,,,"1210 Seiko",,,,,,None,,"https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=562593&manufacturer=Seiko Instruments&part_name=CPH3225A&search_term=None",,,https://www.snapeda.com/parts/CPH3225A/Seiko+Instruments/view-part/?ref=snap,,,,,,,,,,,
C6,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,,,,,,
