Ref Des,Mid X (mm),Mid Y (mm),Rotation,LCSC Part Number
C1,167.04,11.36,90.00,,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,95.68,20.94,90.00,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C11,77.67,19.10,270.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C12,93.46,20.76,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C13,92.43,20.65,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C14,91.41,20.67,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,90.38,20.56,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C16,89.35,20.94,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C17,87.46,20.67,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C18,136.18,42.31,90.00,100uF,RCL_CT3528
C19,162.75,46.49,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT,129.64,54.19,180.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,124.04,50.70,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,141.81,40.38,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,171.04,11.69,90.00,,ESP32_WROVER_EAGLE-LTSPICE_C0402
C20,156.95,48.16,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,52.19,106.36,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,73.72,108.96,270.00,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C23,34.41,108.17,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C24,65.19,108.53,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,120.47,42.46,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,97.90,51.77,270.00,,EAGLE-LTSPICE_C0402
C4,85.61,34.92,0.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C5,101.37,52.40,270.00,CPH3225A,CAPCP3225X100N
C6,97.21,20.91,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,83.46,25.45,0.00,10uF,EAGLE-LTSPICE_C0402
C8,98.92,20.76,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,13.71,97.21,270.00,100nF,EAGLE-LTSPICE_C0402
CHG_LED,123.56,43.05,180.00,,ADAFRUIT_CHIP-LED0603
D1,87.46,30.93,180.00,MBR0530,SOD3716X135N
D10,95.42,67.55,180.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D11,129.08,50.66,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D12,162.70,51.52,180.00,USBLC6-2SC6Y,SOT95P280X145-6N
D2,101.38,31.57,270.00,MBR0530,SOD3716X135N
D3,99.45,36.31,0.00,MBR0530,SOD3716X135N
D4,65.65,55.52,0.00,PGB1010603MR,DIOC1608X36N
D5,35.32,61.51,0.00,PGB1010603MR,DIOC1608X36N
D6,40.27,55.09,90.00,PGB1010603MR,DIOC1608X36N
D7,47.32,44.13,90.00,PGB1010603MR,DIOC1608X36N
D8,52.47,44.04,90.00,PGB1010603MR,DIOC1608X36N
D9,41.47,44.34,90.00,PGB1010603MR,DIOC1608X36N
IC1,128.79,43.22,180.00,XC6220A331MR-G,SOT95P280X120-5N
